Road ID,Road category id,Road category,Region id,Region name,Total link length km,Total link length miles,All motor vehicles
1,1,TM,1,South West,301.339,187.24,3.465840186E9
2,3,TA,1,South West,993.586,617.39,3.48471021E9
3,4,PA,1,South West,3874.924,2407.77,7.794003682E9
4,5,M,1,South West,43581.7,27080.41,9.112005432E9
5,1,TM,2,East Midlands,178.609,110.98,2.73666152E9
6,3,TA,2,East Midlands,1219.231,757.6,4.936702686E9
7,4,PA,2,East Midlands,2571.21,1597.68,5.535722338E9
8,5,M,2,East Midlands,26712.7,16598.5,7.083362916E9
9,1,TM,3,Scotland,335.263,208.32,2.48546845E9
10,3,TA,3,Scotland,2820.302,1752.45,5.05292557E9
11,4,PA,3,Scotland,7405.483,4601.55,6.514431997E9
12,5,M,3,Scotland,47971.6,29808.17,7.656438848E9
13,1,TM,4,Wales,130.291,80.96,1.306589845E9
14,3,TA,4,Wales,1509.635,938.04,3.123943528E9
15,4,PA,4,Wales,2581.176,1603.87,4.010930618E9
16,5,M,4,Wales,28322.4,17598.72,5.286183479E9
17,1,TM,5,North West,553.439,343.89,7.184955992E9
18,2,PM,5,North West,38.642,24.01,3.003886043E8
19,3,TA,5,North West,826.384,513.49,2.68912797E9
20,4,PA,5,North West,3128.239,1943.8,8.498019318E9
21,5,M,5,North West,31405.9,19514.72,1.0232738407E10
22,1,TM,6,London,65.744,40.85,1.245269582E9
23,3,TA,6,London,339.479,210.94,3.913260559E9
24,4,PA,6,London,1371.723,852.35,7.035517996E9
25,5,M,6,London,12573.5,7812.81,6.889501849E9
26,1,TM,7,East of England,243.524,151.32,3.92295169E9
27,3,TA,7,East of England,1134.757,705.11,5.738079521E9
28,4,PA,7,East of England,2719.344,1689.72,7.493977513E9
29,5,M,7,East of England,34610.8,21506.15,1.1083436184E10
30,1,TM,8,Yorkshire and the Humber,333.613,207.3,3.852882985E9
31,2,PM,8,Yorkshire and the Humber,5.612,3.49,7.880772228E7
32,3,TA,8,Yorkshire and the Humber,703.57,437.18,2.966722872E9
33,4,PA,8,Yorkshire and the Humber,2559.104,1590.15,6.365559059E9
34,5,M,8,Yorkshire and the Humber,27494.7,17084.41,7.847735329E9
35,1,TM,9,South East,594.195,369.22,9.617939329E9
36,2,PM,9,South East,16.997,10.56,2.167368363E8
37,3,TA,9,South East,855.597,531.64,5.54362878E9
38,4,PA,9,South East,4269.653,2653.04,1.2858678243E10
39,5,M,9,South East,40851.1,25383.7,1.5597621429E10
40,1,TM,10,West Midlands,351.963,218.7,5.280343918E9
41,2,PM,10,West Midlands,6.895,4.28,1.464122624E8
42,3,TA,10,West Midlands,839.786,521.82,3.257861212E9
43,4,PA,10,West Midlands,2658.788,1652.09,6.579986312E9
44,5,M,10,West Midlands,27956.1,17371.12,9.927697665E9
45,1,TM,11,North East,51.268,31.86,4.734966048E8
46,2,PM,11,North East,3.848,2.39,5.450292852E7
47,3,TA,11,North East,437.347,271.75,1.961549915E9
48,4,PA,11,North East,1301.91,808.97,3.108413973E9
49,5,M,11,North East,14025.9,8715.29,4.664291984E9
50,1,TM,1,South West,304.28,189.07,3.609698716E9
51,3,TA,1,South West,991.224,615.92,3.592467081E9
52,4,PA,1,South West,3882.154,2412.26,8.028746829E9
53,5,M,1,South West,43659.6,27128.82,9.272591264E9
54,1,TM,2,East Midlands,180.352,112.07,2.842352469E9
55,3,TA,2,East Midlands,1215.788,755.46,5.056721458E9
56,4,PA,2,East Midlands,2575.861,1600.57,5.66881734E9
57,5,M,2,East Midlands,26764.2,16630.5,7.198719603E9
58,1,TM,3,Scotland,338.535,210.36,2.577081643E9
59,3,TA,3,Scotland,2813.698,1748.35,5.19258696E9
60,4,PA,3,Scotland,7419.724,4610.4,6.67873035E9
61,5,M,3,Scotland,48054.2,29859.5,7.774887696E9
62,1,TM,4,Wales,131.563,81.75,1.350418388E9
63,3,TA,4,Wales,1506.139,935.87,3.217899485E9
64,4,PA,4,Wales,2585.937,1606.83,4.111196479E9
65,5,M,4,Wales,28370.8,17628.8,5.374885013E9
66,1,TM,5,North West,558.839,347.25,7.370068617E9
67,2,PM,5,North West,38.642,24.01,3.055495587E8
68,3,TA,5,North West,823.653,511.79,2.750751747E9
69,4,PA,5,North West,3133.096,1946.82,8.658580954E9
70,5,M,5,North West,31478.1,19559.58,1.0352642338E10
71,1,TM,6,London,66.386,41.25,1.311689053E9
72,3,TA,6,London,335.84,208.68,3.942920884E9
73,4,PA,6,London,1373.23,853.29,7.155061465E9
74,5,M,6,London,12609.0,7834.87,6.938861113E9
75,1,TM,7,East of England,245.9,152.8,4.120104199E9
76,3,TA,7,East of England,1131.749,703.24,5.888883553E9
