Road ID,Road category id,Road category,Region id,Region name,Total link length km,Total link length miles,All motor vehicles
229,4,PA,8,Yorkshire and the Humber,2568.034,1595.7,6.87578107E9
230,5,M,8,Yorkshire and the Humber,27728.1,17229.44,8.222064597E9
231,1,TM,9,South East,630.894,392.02,1.1767588133E10
232,2,PM,9,South East,10.596,6.58,1.554617987E8
233,3,TA,9,South East,864.351,537.08,6.290876468E9
234,4,PA,9,South East,4284.263,2662.12,1.3937358514E10
235,5,M,9,South East,41192.3,25595.71,1.634449796E10
236,1,TM,10,West Midlands,373.701,232.21,6.379212687E9
237,2,PM,10,West Midlands,4.299,2.67,9.474021216E7
238,3,TA,10,West Midlands,846.281,525.85,3.644097531E9
239,4,PA,10,West Midlands,2668.024,1657.83,7.048744615E9
240,5,M,10,West Midlands,28183.5,17512.41,1.0365868901E10
241,1,TM,11,North East,54.435,33.82,5.805303981E8
242,2,PM,11,North East,2.399,1.49,3.499980924E7
243,3,TA,11,North East,441.337,274.23,2.225317901E9
244,4,PA,11,North East,1306.401,811.76,3.369784308E9
245,5,M,11,North East,14143.5,8788.36,4.864473102E9
246,1,TM,1,South West,324.103,201.39,4.364283621E9
247,3,TA,1,South West,997.318,619.7,3.998618553E9
248,4,PA,1,South West,3907.464,2427.99,8.621961447E9
249,5,M,1,South West,43971.7,27322.75,9.688377093E9
250,1,TM,2,East Midlands,192.102,119.37,3.63197185E9
251,3,TA,2,East Midlands,1220.239,758.22,5.560913933E9
252,4,PA,2,East Midlands,2592.165,1610.7,6.082946165E9
253,5,M,2,East Midlands,26970.7,16758.82,7.530250478E9
254,1,TM,3,Scotland,360.59,224.06,3.151594731E9
255,3,TA,3,Scotland,2831.538,1759.44,5.699872482E9
256,4,PA,3,Scotland,7469.586,4641.39,7.204388187E9
257,5,M,3,Scotland,48385.7,30065.48,8.141212907E9
258,1,TM,4,Wales,140.135,87.08,1.685967544E9
259,3,TA,4,Wales,1515.89,941.93,3.515540525E9
260,4,PA,4,Wales,2602.643,1617.21,4.386566088E9
261,5,M,4,Wales,28566.2,17750.21,5.63120623E9
262,1,TM,5,North West,595.248,369.87,8.976525093E9
263,2,PM,5,North West,23.777,14.77,2.115072185E8
264,3,TA,5,North West,824.456,512.29,2.985210382E9
265,4,PA,5,North West,3150.209,1957.45,9.123032427E9
266,5,M,5,North West,31766.4,19738.73,1.080425025E10
267,1,TM,6,London,70.713,43.94,1.557099926E9
268,3,TA,6,London,322.229,200.22,3.900861197E9
269,4,PA,6,London,1378.611,856.63,7.133584625E9
270,5,M,6,London,12751.1,7923.17,7.228122943E9
271,1,TM,7,East of England,261.922,162.75,4.882976845E9
272,3,TA,7,East of England,1136.965,706.48,6.583135081E9
273,4,PA,7,East of England,2740.958,1703.15,8.27238895E9
274,5,M,7,East of England,34934.6,21707.35,1.1796843661E10
275,1,TM,8,Yorkshire and the Humber,358.814,222.96,4.871375364E9
276,2,PM,8,Yorkshire and the Humber,3.453,2.15,5.718969095E7
277,3,TA,8,Yorkshire and the Humber,702.236,436.35,3.330081302E9
278,4,PA,8,Yorkshire and the Humber,2578.301,1602.08,7.017119954E9
279,5,M,8,Yorkshire and the Humber,27786.2,17265.54,8.333456058E9
280,1,TM,9,South East,639.081,397.11,1.2341318213E10
281,2,PM,9,South East,10.458,6.5,1.598098933E8
282,3,TA,9,South East,855.815,531.78,6.42054724E9
283,4,PA,9,South East,4302.909,2673.7,1.4174519988E10
284,5,M,9,South East,41277.6,25648.71,1.6547072084E10
285,1,TM,10,West Midlands,378.551,235.22,6.643315317E9
286,2,PM,10,West Midlands,4.242,2.64,9.543316656E7
287,3,TA,10,West Midlands,837.898,520.65,3.687937757E9
288,4,PA,10,West Midlands,2678.916,1664.6,7.120003148E9
289,5,M,10,West Midlands,28241.1,17548.21,1.050852328E10
290,1,TM,11,North East,55.141,34.26,5.988711649E8
291,2,PM,11,North East,2.368,1.47,3.586944867E7
292,3,TA,11,North East,436.977,271.52,2.244144377E9
293,4,PA,11,North East,1311.913,815.18,3.415671487E9
294,5,M,11,North East,14173.4,8806.94,4.939694322E9
295,1,TM,1,South West,326.8,203.06,4.491894958E9
296,3,TA,1,South West,999.3,620.94,4.02204341E9
297,4,PA,1,South West,3922.4,2437.27,8.727678435E9
298,5,M,1,South West,44050.4,27371.65,9.895299187E9
299,1,TM,2,East Midlands,193.7,120.36,3.818461103E9
300,3,TA,2,East Midlands,1222.05,759.35,5.732521856E9
301,4,PA,2,East Midlands,2603.01,1617.44,6.141620936E9
302,5,M,2,East Midlands,27022.5,16791.0,7.698954917E9
303,1,TM,3,Scotland,363.59,225.92,3.208731607E9
304,3,TA,3,Scotland,2837.27,1763.0,5.773458174E9
