Road ID,Road category id,Road category,Region id,Region name,Total link length km,Total link length miles,All motor vehicles
305,4,PA,3,Scotland,7495.31,4657.37,7.259898375E9
306,5,M,3,Scotland,48469.3,30117.43,8.322027831E9
307,1,TM,4,Wales,141.3,87.8,1.765885643E9
308,3,TA,4,Wales,1519.0,943.86,3.523495985E9
309,4,PA,4,Wales,2612.89,1623.57,4.429316389E9
310,5,M,4,Wales,28615.9,17781.1,5.759211945E9
311,1,TM,5,North West,600.2,372.95,9.22974761E9
312,2,PM,5,North West,24.1,14.98,2.0922656E8
313,3,TA,5,North West,825.23,512.77,2.996700287E9
314,4,PA,5,North West,3168.58,1968.86,9.108248134E9
315,5,M,5,North West,31839.8,19784.33,1.1062208843E10
316,1,TM,6,London,71.3,44.3,1.556558485E9
317,3,TA,6,London,319.7,198.65,4.0558506E9
318,4,PA,6,London,1390.7,864.14,7.287205031E9
319,5,M,6,London,12787.1,7945.54,7.41538486E9
320,1,TM,7,East of England,264.1,164.1,4.981643475E9
321,3,TA,7,East of England,1138.87,707.66,6.76531706E9
322,4,PA,7,East of England,2753.23,1710.78,8.352204724E9
323,5,M,7,East of England,34999.5,21747.68,1.2057999016E10
324,1,TM,8,Yorkshire and the Humber,361.8,224.81,4.950321227E9
325,2,PM,8,Yorkshire and the Humber,3.5,2.17,5.586177722E7
326,3,TA,8,Yorkshire and the Humber,702.95,436.79,3.370973914E9
327,4,PA,8,Yorkshire and the Humber,2591.53,1610.3,7.016475212E9
328,5,M,8,Yorkshire and the Humber,27846.5,17303.01,8.533629196E9
329,1,TM,9,South East,644.4,400.41,1.2725753652E10
330,2,PM,9,South East,10.6,6.59,1.663582497E8
331,3,TA,9,South East,857.0,532.52,6.581739116E9
332,4,PA,9,South East,4323.18,2686.3,1.4254490685E10
333,5,M,9,South East,41364.1,25702.46,1.6926429846E10
334,1,TM,10,West Midlands,381.7,237.18,6.685007302E9
335,2,PM,10,West Midlands,4.3,2.67,8.322178664E7
336,3,TA,10,West Midlands,838.7,521.14,3.711975573E9
337,4,PA,10,West Midlands,2692.39,1672.97,7.184197423E9
338,5,M,10,West Midlands,28298.2,17583.69,1.0756200876E10
339,1,TM,11,North East,55.6,34.55,5.97752959E8
340,2,PM,11,North East,2.4,1.49,3.47998582E7
341,3,TA,11,North East,437.5,271.85,2.342366657E9
342,4,PA,11,North East,1318.3,819.15,3.460748005E9
343,5,M,11,North East,14203.0,8825.34,5.068239589E9
344,1,TM,1,South West,326.8,203.06,4.521099474E9
345,3,TA,1,South West,999.3,620.94,4.132628375E9
346,4,PA,1,South West,3927.1,2440.19,8.633699033E9
347,5,M,1,South West,44129.5,27420.8,1.0069256223E10
348,1,TM,2,East Midlands,193.7,120.36,3.730184955E9
349,3,TA,2,East Midlands,1210.8,752.36,5.582205508E9
350,4,PA,2,East Midlands,2624.66,1630.89,6.220316121E9
351,5,M,2,East Midlands,27074.3,16823.19,7.78491027E9
352,1,TM,3,Scotland,385.29,239.41,3.358286173E9
353,3,TA,3,Scotland,2811.97,1747.28,5.543297877E9
354,4,PA,3,Scotland,7482.01,4649.11,7.185207573E9
355,5,M,3,Scotland,48552.8,30169.31,8.344977797E9
356,1,TM,4,Wales,141.3,87.8,1.746195956E9
357,3,TA,4,Wales,1539.5,956.6,3.522626751E9
358,4,PA,4,Wales,2607.29,1620.09,4.399246745E9
359,5,M,4,Wales,28664.9,17811.54,5.702553649E9
360,1,TM,5,North West,600.2,372.95,9.294708345E9
361,2,PM,5,North West,23.7,14.73,2.170574464E8
362,3,TA,5,North West,826.83,513.77,3.012841156E9
363,4,PA,5,North West,3168.28,1968.68,9.079724138E9
364,5,M,5,North West,31911.4,19828.82,1.0921472077E10
365,1,TM,6,London,65.6,40.76,1.47575E9
366,3,TA,6,London,319.2,198.34,4.150315791E9
367,4,PA,6,London,1396.0,867.43,7.234092467E9
368,5,M,6,London,12823.0,7967.84,7.428197699E9
369,1,TM,7,East of England,263.3,163.61,4.855736908E9
370,3,TA,7,East of England,1138.47,707.41,6.796380902E9
371,4,PA,7,East of England,2755.43,1712.14,8.325032144E9
372,5,M,7,East of England,35065.2,21788.51,1.2049363018E10
373,1,TM,8,Yorkshire and the Humber,361.8,224.81,5.02182425E9
374,2,PM,8,Yorkshire and the Humber,3.5,2.17,5.34679928E7
375,3,TA,8,Yorkshire and the Humber,702.95,436.79,3.323205276E9
376,4,PA,8,Yorkshire and the Humber,2602.23,1616.95,6.958946291E9
377,5,M,8,Yorkshire and the Humber,27904.6,17339.11,8.536007251E9
378,1,TM,9,South East,644.4,400.41,1.2938510974E10
379,2,PM,9,South East,10.6,6.59,1.676220297E8
380,3,TA,9,South East,875.6,544.07,6.587285531E9
