Record ID,Count point id,Direction of travel,Year,Count date,hour,Region id,Region name,Local authority name,Road name,Road Category ID,Start junction road name,End junction road name,Latitude,Longitude,Link length km,Pedal cycles,Two wheeled motor vehicles,Cars and taxis,Buses and coaches,LGV Type,HGV Type,EV Car,EV Bike
37093,58073,E,2014,5/8/2014 0:00,16,7,East of England,Cambridgeshire,A14,3,A1303,A1303,52.21335948,0.267274407,6.8,0,10,1425,1,390,42,7,6
37094,58073,E,2014,5/8/2014 0:00,17,7,East of England,Cambridgeshire,A14,3,A1303,A1303,52.21335948,0.267274407,6.8,0,4,1079,3,164,25,2,4
37095,58073,E,2014,5/8/2014 0:00,18,7,East of England,Cambridgeshire,A14,3,A1303,A1303,52.21335948,0.267274407,6.8,0,9,870,2,82,11,0,1
37096,57787,E,2014,9/23/2014 0:00,7,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,1,35,1955,10,413,32,4,7
37097,57787,E,2014,9/23/2014 0:00,8,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,41,1951,2,299,33,4,10
37098,57787,E,2014,9/23/2014 0:00,9,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,14,1462,4,265,34,6,10
37099,57787,E,2014,9/23/2014 0:00,10,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,10,1038,2,174,43,3,9
37100,57787,E,2014,9/23/2014 0:00,11,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,6,926,4,220,25,6,12
37101,57787,E,2014,9/23/2014 0:00,12,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,16,850,2,207,50,7,8
37102,57787,W,2014,9/23/2014 0:00,13,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,11,782,3,176,46,8,8
37103,57787,W,2014,9/23/2014 0:00,14,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,10,1037,4,253,34,8,18
37104,57787,W,2014,9/23/2014 0:00,15,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,9,1157,3,250,53,11,7
37105,57787,W,2014,9/23/2014 0:00,16,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,26,1746,2,402,24,3,3
37106,57787,W,2014,9/23/2014 0:00,17,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,1,33,1970,1,215,25,0,4
37107,57787,W,2014,9/23/2014 0:00,18,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,31,1693,4,149,2,0,0
37108,57787,W,2014,9/23/2014 0:00,7,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,21,1494,2,279,46,5,15
37109,57787,W,2014,9/23/2014 0:00,8,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,13,1293,1,193,30,6,5
37110,57787,W,2014,9/23/2014 0:00,9,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,8,903,5,136,45,5,17
37111,57787,W,2014,9/23/2014 0:00,10,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,7,734,1,223,35,6,8
37112,57787,W,2014,9/23/2014 0:00,11,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,1,6,802,4,154,49,8,10
37113,57787,W,2014,9/23/2014 0:00,12,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,8,866,4,234,34,5,6
37114,57787,E,2014,9/23/2014 0:00,13,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,17,850,1,200,37,2,12
37115,57787,E,2014,9/23/2014 0:00,14,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,12,789,1,167,37,5,14
37116,57787,E,2014,9/23/2014 0:00,15,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,8,947,5,257,20,3,9
37117,57787,E,2014,9/23/2014 0:00,16,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,19,1258,4,252,15,3,3
37118,57787,E,2014,9/23/2014 0:00,17,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,16,1706,4,216,11,3,3
37119,57787,E,2014,9/23/2014 0:00,18,9,South East,Surrey,A31,4,A331,A3,51.22700479,-0.640882551,8.8,0,18,1488,2,124,8,0,0
37120,56337,E,2014,9/24/2014 0:00,7,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,16,10,467,0,124,16,0,4
37121,56337,E,2014,9/24/2014 0:00,8,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,10,0,588,2,115,16,1,0
37122,56337,E,2014,9/24/2014 0:00,9,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,2,7,366,1,84,12,1,1
37123,56337,E,2014,9/24/2014 0:00,10,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,1,6,300,0,81,13,1,1
37124,56337,E,2014,9/24/2014 0:00,11,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,0,4,354,1,69,12,3,3
37125,56337,E,2014,9/24/2014 0:00,12,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,2,3,308,1,70,14,2,2
37126,56337,W,2014,9/24/2014 0:00,13,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,0,3,295,3,53,2,0,3
37127,56337,W,2014,9/24/2014 0:00,14,1,South West,Poole,A35,4,A350 Creekmoor Junction,A349 Fleet's Corner,50.73823262,-2.007033485,1.9,0,3,367,3,75,11,1,2
37128,80704,E,2014,9/12/2014 0:00,8,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,2,17,2175,10,252,58,10,2
37129,80704,E,2014,9/12/2014 0:00,9,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,1,7,1682,11,245,45,11,9
37130,80704,E,2014,9/12/2014 0:00,10,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,4,8,1058,6,160,39,6,3
37131,80704,E,2014,9/12/2014 0:00,11,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,0,15,1627,7,273,54,8,3
37132,80704,E,2014,9/12/2014 0:00,12,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,0,17,1709,5,169,50,11,9
37133,80704,W,2014,9/12/2014 0:00,13,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,0,15,1242,7,208,33,2,3
37134,80704,W,2014,9/12/2014 0:00,14,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,1,10,1333,3,190,47,4,0
37135,80704,W,2014,9/12/2014 0:00,15,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,2,18,1470,18,245,10,1,2
37136,80704,W,2014,9/12/2014 0:00,16,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,5,21,1795,11,170,14,4,1
37137,80704,W,2014,9/12/2014 0:00,17,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,1,17,1714,8,178,8,1,1
37138,80704,W,2014,9/12/2014 0:00,18,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,3,6,1163,3,72,9,0,0
37139,80704,W,2014,9/12/2014 0:00,7,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,0,11,786,11,197,25,12,6
37140,80704,W,2014,9/12/2014 0:00,8,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,1,7,826,5,159,33,2,4
37141,80704,W,2014,9/12/2014 0:00,9,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,2,8,816,10,198,25,8,4
37142,80704,W,2014,9/12/2014 0:00,10,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,2,4,922,4,155,38,9,1
37143,80704,W,2014,9/12/2014 0:00,11,8,Yorkshire and the Humber,Doncaster,A19,4,A638,A630,53.52928955,-1.139021707,1.18,3,6,1055,4,194,28,7,7
