Record ID,Count point id,Direction of travel,Year,Count date,hour,Region id,Region name,Local authority name,Road name,Road Category ID,Start junction road name,End junction road name,Latitude,Longitude,Link length km,Pedal cycles,Two wheeled motor vehicles,Cars and taxis,Buses and coaches,LGV Type,HGV Type,EV Car,EV Bike
74185,941132,E,2014,6/16/2014 0:00,16,7,East of England,Essex,B1013,5,,,51.58948746,0.667448484,,2,2,424,2,105,2,2,0
74186,941132,E,2014,6/16/2014 0:00,17,7,East of England,Essex,B1013,5,,,51.58948746,0.667448484,,1,0,517,1,62,0,0,0
74187,941132,E,2014,6/16/2014 0:00,18,7,East of England,Essex,B1013,5,,,51.58948746,0.667448484,,1,2,456,2,60,2,0,0
74188,941147,N,2014,10/17/2014 0:00,7,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,10,8,559,3,130,6,1,2
74189,941147,N,2014,10/17/2014 0:00,8,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,3,8,578,4,61,7,2,4
74190,941147,N,2014,10/17/2014 0:00,9,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,3,2,653,3,127,10,4,6
74191,941147,N,2014,10/17/2014 0:00,10,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,0,8,560,4,110,9,7,8
74192,941147,N,2014,10/17/2014 0:00,11,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,0,0,487,4,87,18,4,3
74193,941147,N,2014,10/17/2014 0:00,12,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,2,9,500,2,117,8,4,2
74194,941147,S,2014,10/17/2014 0:00,13,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,5,7,433,8,86,5,3,3
74195,941147,S,2014,10/17/2014 0:00,14,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,3,4,459,5,89,1,1,3
74196,941147,S,2014,10/17/2014 0:00,15,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,8,6,481,14,100,4,0,1
74197,941147,S,2014,10/17/2014 0:00,16,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,5,5,616,6,96,6,0,1
74198,941147,S,2014,10/17/2014 0:00,17,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,21,11,615,6,105,1,0,1
74199,941147,S,2014,10/17/2014 0:00,18,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,3,8,537,6,69,0,0,0
74200,941147,S,2014,10/17/2014 0:00,7,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,4,7,299,9,114,7,4,5
74201,941147,S,2014,10/17/2014 0:00,8,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,1,10,356,2,125,3,2,0
74202,941147,S,2014,10/17/2014 0:00,9,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,2,1,429,11,106,23,3,14
74203,941147,S,2014,10/17/2014 0:00,10,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,1,6,353,2,97,10,4,0
74204,941147,S,2014,10/17/2014 0:00,11,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,0,4,419,3,102,10,2,2
74205,941147,S,2014,10/17/2014 0:00,12,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,1,8,477,5,79,15,1,3
74206,941147,N,2014,10/17/2014 0:00,13,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,1,8,492,5,107,10,5,2
74207,941147,N,2014,10/17/2014 0:00,14,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,2,5,523,4,117,5,5,3
74208,941147,N,2014,10/17/2014 0:00,15,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,7,11,513,4,99,12,6,9
74209,941147,N,2014,10/17/2014 0:00,16,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,6,9,546,6,113,6,1,2
74210,941147,N,2014,10/17/2014 0:00,17,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,1,8,540,5,109,0,0,0
74211,941147,N,2014,10/17/2014 0:00,18,7,East of England,Essex,B1025,5,,,51.86665959,0.908454704,,3,5,530,3,86,0,0,0
74212,27806,N,2014,10/24/2014 0:00,7,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,8,1063,26,185,49,7,12
74213,27806,N,2014,10/24/2014 0:00,8,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,3,14,1211,13,235,51,11,7
74214,27806,N,2014,10/24/2014 0:00,9,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,4,935,9,261,86,5,7
74215,27806,N,2014,10/24/2014 0:00,10,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,5,913,12,183,51,8,10
74216,27806,N,2014,10/24/2014 0:00,11,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,1,9,1003,11,253,67,16,12
74217,27806,N,2014,10/24/2014 0:00,12,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,7,1196,8,190,49,4,6
74218,27806,S,2014,10/24/2014 0:00,13,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,0,8,1062,11,212,65,7,10
74219,27806,S,2014,10/24/2014 0:00,14,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,0,11,1090,15,232,73,6,12
74220,27806,S,2014,10/24/2014 0:00,15,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,3,12,1203,14,219,54,10,7
74221,27806,S,2014,10/24/2014 0:00,16,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,3,1312,20,180,47,9,6
74222,27806,S,2014,10/24/2014 0:00,17,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,4,11,1259,14,112,19,3,3
74223,27806,S,2014,10/24/2014 0:00,18,8,Yorkshire and the Humber,Bradford,A6037,4,A650,King's Rd,53.80204342,-1.750957657,0.6,2,6,985,8,49,13,3,1
